date,offset,size
2018-07-24,9909312279,58269155
2018-07-25,9967581434,57815175
2018-07-26,10025396609,57631071
2018-07-27,10083027680,57637798
2018-07-28,10140665478,57743749
2018-07-29,10198409227,57085292
2018-07-30,10255494519,56038884
2018-07-31,10311533403,56690214
2018-08-01,10368223617,57628319
2018-08-02,10425851936,57967949
2018-08-03,10483819885,57169594
2018-08-04,10540989479,55755746
2018-08-05,10596745225,53953283
2018-08-06,10650698508,55374307
2018-08-07,10706072815,55494875
2018-08-08,10761567690,56470647
2018-08-09,10818038337,57977582
2018-08-10,10876015919,59116948
2018-08-11,10935132867,59851075
2018-08-12,10994983942,59986227
2018-08-13,11054970169,60043924
2018-08-14,11115014093,59419079
2018-08-15,11174433172,60557035
2018-08-16,11234990207,58978704
2018-08-17,11293968911,58505433
2018-08-18,11352474344,56895481
2018-08-19,11409369825,56947982
2018-08-20,11466317807,54054388
2018-08-21,11520372195,50773707
2018-08-22,11571145902,49533035
2018-08-23,11620678937,49458455
2018-08-24,11670137392,47633780
2018-08-25,11717771172,46576331
2018-08-26,11764347503,46498646
2018-08-27,11810846149,45687718
2018-08-28,11856533867,46236237
2018-08-29,11902770104,55496467
2018-08-30,11958266571,59523437
2018-08-31,12017790008,64634938
2018-09-01,12082424946,64447164
2018-09-02,12146872110,64155771
2018-09-03,12211027881,63695521
2018-09-04,12274723402,62745457
2018-09-05,12337468859,62488452
2018-09-06,12399957311,59536908
2018-09-07,12459494219,59074417
2018-09-08,12518568636,57694735
2018-09-09,12576263371,58957268
2018-09-10,12635220639,61701768
2018-09-11,12696922407,66771923
2018-09-12,12763694330,66026295
2018-09-13,12829720625,59518219
2018-09-14,12889238844,59573831
2018-09-15,12948812675,59631114
2018-09-16,13008443789,59665292
2018-09-17,13068109081,58495400
2018-09-18,13126604481,58426562
2018-09-19,13185031043,58953731
2018-09-20,13243984774,59550545
2018-09-21,13303535319,59068188
2018-09-22,13362603507,59071046
2018-09-23,13421674553,59438528
2018-09-24,13481113081,60536144
2018-09-25,13541649225,60609023
2018-09-26,13602258248,60049564
2018-09-27,13662307812,60584434
2018-09-28,13722892246,60401706
2018-09-29,13783293952,60412572
2018-09-30,13843706524,60474974
2018-10-01,13904181498,60077556
2018-10-02,13964259054,58260909
2018-10-03,14022519963,58286039
2018-10-04,14080806002,57824063
2018-10-05,14138630065,56513867
2018-10-06,14195143932,57056801
2018-10-07,14252200733,56354692
2018-10-08,14308555425,56042181
2018-10-09,14364597606,52133371
2018-10-10,14416730977,52698794
2018-10-11,14469429771,52500589
2018-10-12,14521930360,52117443
2018-10-13,14574047803,51746805
2018-10-14,14625794608,52099996
2018-10-15,14677894604,51874390
2018-10-16,14729768994,52427445
2018-10-17,14782196439,63960829
2018-10-18,14846157268,69902415
2018-10-19,14916059683,71468843
2018-10-20,14987528526,71085498
2018-10-21,15058614024,70666970
2018-10-22,15129280994,70174316
2018-10-23,15199455310,70360999
2018-10-24,15269816309,70404628
2018-10-25,15340220937,70310488
2018-10-26,15410531425,69940404
2018-10-27,15480471829,70265421
2018-10-28,15550737250,69999557
2018-10-29,15620736807,70391921
2018-10-30,15691128728,70073986
2018-10-31,15761202714,69929135
2018-11-01,15831131849,68488385
2018-11-02,15899620234,68296943
2018-11-03,15967917177,67816041
2018-11-04,16035733218,66933498
2018-11-05,16102666716,65825569
2018-11-06,16168492285,64557544
2018-11-07,16233049829,62805487
2018-11-08,16295855316,62374875
2018-11-09,16358230191,62522093
2018-11-10,16420752284,63432816
2018-11-11,16484185100,64005477
2018-11-12,16548190577,63977045
2018-11-13,16612167622,65687282
2018-11-14,16677854904,64577035
2018-11-15,16742431939,64898872
2018-11-16,16807330811,64088448
