month,overall,public_housing,1-room_2-room,3-room,4-room,5-room_and_executive,private_housing,private_apts_and_condo,landed_properties,others
2006-04,511.3,311.8,5.9,57.8,123.8,124.3,198.5,117.3,81.2,1.1
2006-05,522,318.9,6,59.1,126.6,127.2,202.1,121,81.1,1.1
2006-06,533.2,329,6.1,60.7,130.8,131.5,203.2,121.7,81.5,1.1
2006-07,513.2,317.4,5.9,58.4,125.8,127.3,194.8,116.9,78,1
2006-08,544.2,334.9,6.1,61.3,133.1,134.4,208.3,124.1,84.2,1
2006-09,541.4,331.8,6.1,60.7,131.5,133.4,208.6,124.6,84,1
2006-10,525.7,320,6,59,126.8,128.2,204.6,121.3,83.3,1.1
2006-11,535.2,327.2,6.1,59.6,129.7,131.8,207,124.1,82.9,1.1
2006-12,495,302.4,5.8,55.5,119.6,121.4,191.6,114.5,77.1,1
2007-01,473.6,291.5,5.7,53.5,115.4,116.8,181.1,107.9,73.2,1
2007-02,444.4,271.6,5.5,51,107.1,108.1,171.8,100.8,71,0.9
2007-03,451.8,274.4,5.3,50.4,108.5,110.1,176.5,103.7,72.7,0.9
2007-04,511,311.5,5.8,57.3,123.6,124.9,198.4,117.7,80.6,1.1
2007-05,542.8,330.2,6.2,60.8,130.7,132.5,211.5,128,83.5,1.1
2007-06,556,340.3,6.4,62.6,134.6,136.7,214.6,129.4,85.2,1.1
2007-07,563.1,343.6,6.4,63.2,135.7,138.3,218.5,131.6,86.8,1.1
2007-08,555,340.6,6.3,62.8,134.8,136.7,213.3,127.9,85.4,1.1
2007-09,513.6,315.6,6.1,58.4,124.6,126.4,197,118.1,78.9,1
2007-10,514.7,314.5,6,57.7,124.3,126.5,199.1,118.1,81,1.1
2007-11,547.9,333.8,6.4,61.6,132.1,133.7,213,127.2,85.9,1.1
2007-12,489.9,299.9,5.9,55.8,118.6,119.7,189.1,112.4,76.6,1
2008-01,467.1,288.5,5.8,53.6,114,115.1,177.6,104.8,72.8,1
2008-02,472.7,288.6,5.7,53.9,114.1,115,183.1,106.6,76.5,1
2008-03,449.5,272.2,5.3,50.6,107.6,108.7,176.3,103.9,72.4,0.9
2008-04,491.5,303.2,5.8,56.1,120.1,121.2,187.3,111.1,76.2,1
2008-05,544,333.1,6.3,61.7,132.2,132.9,209.8,126,83.8,1.1
2008-06,572.5,345.5,6.5,64.4,136.7,137.8,225.9,135.9,90,1.2
2008-07,525.8,323.7,6.2,59.5,128.2,129.9,201.1,120.2,80.9,1
2008-08,510.1,312.8,6,58,124.1,124.7,196.3,117.5,78.8,1
2008-09,519.1,319.2,6.1,59.1,126.6,127.4,198.9,117.7,81.2,1.1
2008-10,522.1,318.8,6.2,58.6,126.3,127.8,202.2,120.6,81.6,1.1
2008-11,535.6,323.9,6.4,60.1,128.5,129,210.5,127.3,83.2,1.1
2008-12,484,294.4,5.7,55,117,116.6,188.6,111.9,76.7,1
2009-01,476.4,290.8,5.9,53.9,115.5,115.5,184.5,108.7,75.8,1
2009-02,460.5,280.3,5.6,52.4,111.1,111.1,179.3,104.1,75.3,0.9
2009-03,461.2,279,5.5,51.8,110.8,110.8,181.3,107.1,74.2,0.9
2009-04,510.5,310.2,6.1,57.7,123.4,123.1,199.3,118.8,80.4,1.1
2009-05,556.6,336.4,6.6,62.6,133.3,134.1,219,133,86,1.2
2009-06,609.5,370.9,6.8,68.1,147.6,148.3,237.4,143.3,94.1,1.2
2009-07,592.7,359.9,6.8,65.3,142.9,144.9,231.6,140.2,91.4,1.2
2009-08,572.1,349.7,6.8,65.5,138.2,139.2,221.3,133.3,88,1.1
2009-09,554.9,337.5,6.6,62.3,134.1,134.5,216.2,130.3,86,1.1
2009-10,557.4,337.8,6.7,62.6,134,134.5,218.5,131.4,87.1,1.2
2009-11,562.9,339,6.8,62.7,134.3,135.2,222.8,135.8,86.9,1.1
2009-12,516,310.9,6.3,57.9,123.3,123.3,204.1,122.1,81.9,1.1
2010-01,490.6,298.7,6.2,55.6,119,117.9,190.9,113.9,77,1
2010-02,503.9,302.9,6.1,56.5,120.2,120.1,199.9,117.5,82.4,1
2010-03,547.6,325.9,6.4,60.4,129.4,129.7,220.7,132.7,88,1.1
2010-04,585,352,6.8,64.6,140.2,140.4,231.7,140.3,91.5,1.2
2010-05,573.5,345.9,7,64.6,137.3,137,226.5,138.6,87.9,1.2
2010-06,606,365.6,7.2,67.8,145.6,145,239.1,145.2,93.9,1.3
2010-07,575.2,349.9,7,64.7,139.2,139,224.1,137.7,86.4,1.2
2010-08,539.7,331.2,6.9,61.8,131.6,130.8,207.5,125.4,82.1,1
2010-09,539.2,328.3,6.7,60.8,131.2,129.6,209.8,126.1,83.7,1.1
2010-10,557.8,335.8,7,62.7,133.8,132.4,220.7,134.1,86.6,1.2
2010-11,581.4,351.2,7.2,65.3,139.9,138.8,229.1,140.4,88.7,1.2
2010-12,536.2,323.7,6.8,59.9,129.1,127.9,211.4,128.7,82.7,1.1
2011-01,499.3,303.6,6.7,56.4,121.1,119.4,194.7,117.9,76.8,1.1
2011-02,461.7,279.3,6.1,52.1,111.2,109.9,181.5,107.3,74.2,0.9
2011-03,465.7,279.9,6.1,52.2,111.8,109.9,184.9,110.1,74.8,1
2011-04,524.4,314.6,6.7,58.7,125.7,123.5,208.6,127.1,81.5,1.1
2011-05,565.1,337.9,7.2,63.4,135.2,132.1,226,138.5,87.5,1.1
2011-06,602.8,364.7,7.6,67.8,146,143.3,236.8,145.4,91.5,1.3
2011-07,586,354.9,7.6,65.9,141.8,139.6,229.9,142.8,87.1,1.1
2011-08,590.6,356.5,7.7,66,142.7,140.1,232.9,142.2,90.7,1.1
2011-09,582.6,354,7.6,65.4,141.6,139.3,227.5,139.9,87.6,1.1
2011-10,557.7,335.3,7.4,62.1,134.4,131.4,221.2,134.7,86.5,1.1
2011-11,541.1,326,7.3,60.2,130.5,128,213.9,132,82,1.1
2011-12,505.9,304.8,6.9,56.6,122.2,119.1,200,122.4,77.6,1
2012-01,503.3,303.9,7.1,56.6,121.9,118.3,198.4,120.9,77.5,1
2012-02,505,301.5,6.9,55.8,121.1,117.8,202.4,121.4,81,1
2012-03,508.6,303.3,6.9,56,121.7,118.7,204.4,124.5,79.9,1
2012-04,540.9,323.8,7.4,59.9,130.3,126.3,216,132.5,83.4,1.1
2012-05,557.1,334,7.5,61.6,134.4,130.5,222.1,138.3,83.9,1
2012-06,607.9,364.7,8,66.8,147,142.8,242.1,150.1,91.9,1.1
2012-07,594.8,357.5,8,65.3,143.9,140.4,236.2,147.6,88.6,1.1
2012-08,585.6,351,7.9,64.6,141.2,137.3,233.5,144.2,89.4,1.1
2012-09,573.2,344.2,7.9,62.9,138.8,134.7,228,140.3,87.6,1
2012-10,560.2,333.8,7.5,61,134.7,130.5,225.4,138.1,87.2,1
2012-11,568.1,338.5,7.8,61.4,136.4,132.8,228.5,142,86.5,1.1
2012-12,524.8,313.8,7.5,57.2,126.5,122.6,210.2,129.4,80.8,0.9
2013-01,513.1,310,7.5,56.3,125.6,120.6,202.1,124,78.1,0.9
2013-02,498,298,7.2,54.2,120.4,116.2,199.1,121.1,78,0.9
2013-03,498.3,295.5,7.1,53.6,119.6,115.2,201.8,123.6,78.2,0.9
2013-04,568.3,339.1,8,61.9,137,132.3,228.1,140.7,87.4,1.1
2013-05,601.8,354.8,8.4,64.8,142.3,139.3,245.9,154.5,91.3,1.1
